ลำดับที่,ชื่อย่านชุมชนเก่า,ตำบล,อำเภอ,จังหวัด,ภาค,East,North,ลักษณะสำคัญ
1,นครชุม,นครชุม,เมืองกำแพงเพชร,กำแพงเพชร,กลาง,552752.0317,1822472.131,นครชุม เป็นชุมชนตลาดการค้า ที่มีประวัติความเป็นมากว่า 700 ปี ประชาชนส่วนใหญ่ประกอบอาชีพรับจ้างและค้าขาย เนื่องจากไม่มีทรัพยากรธรรมชาติอื่นใด ที่จะเอื้ออำนวยให้เกิดการจ้างงาน สร้างรายได้ให้แก่ประชาชน นอกจากภูมิปัญญาพื้นบ้าน ขนบธรรมเนียมประเพณี มรดกทางวัฒนธรรมของท้องถิ่น ชุมชนนี้ที่ตั้งอยู่ใจกลางเมืองกำแพงเพชร มีลักษณะเป็นชุมชนเมืองที่มีความหนาแน่นปานกลาง มีกลุ่มอาคารพาณิชยกรรมแบบดั้งเดิม เรือนแถวไม้ทอดตัวเรียงรายตามถนน พื้นที่ในกลุ่มชุมชนมีลักษณะการรวมกลุ่มเป็น cluster ในลักษณะย่านการค้า ประกอบด้วย ถนนสายสำคัญสองสาย ได้แก่ ถนนสาย 1078 และถนนขนานคลองสวนหมาก โดยพื้นที่ติดถนนเป็นอาคารเรือนแถวไม้พาณิชยกรรม เป็นช่วงประมาณ 4-5 คูหา ด้านหลังอาคารพาณิชยกรรมสลับด้วยบ้านพักอาศัย ฐานเศรษฐกิจของชุมชนเป็นย่านการค้า ได้แก่ ตลาด การค้าปลีกที่สำคัญของจังหวัด นอกจากนี้ ยังมีกิจกรรมส่งเสริมวัฒนธรรมชุมชนในรูปแบบถนนคนเดินในวันหยุด โดยมีการจำลองบรรยากาศตลาดแบบย้อนยุค บรรยากาศภายในตลาดจะมีพ่อค้า แม่ค้า แต่งกายด้วยชุดไทย นำอาหารที่เป็นเอกลักษณ์ของชาวนครชุมหรือร่วมสมัยวางจำหน่าย นอกจากนี้ ยังมีการสาธิตการทำอาหารพื้นบ้าน หรือศิลปหัตถกรรม อาทิ การจักสานไม้ไผ่ งานฝีมือใบตอง หรือการวาดรูป ระบายสี มุ่งเน้นการแต่งกายพื้นบ้าน หรือวัฒนธรรม ร่วมสมัย และอื่น ๆ อีกจำนวนมาก
2,บ้านพรานกระต่าย,ถ้ำกระต่ายทอง,พรานกระต่าย,กำแพงเพชร,กลาง,562744.2062,1842633.828,"บ้านพรานกระต่าย เป็นชุมชนเกษตรกรรมชนบท ที่มีเรื่องเล่ากันว่ามีนายพรานได้พบกระต่ายขนสีทองสวยงามมากบริเวณหน้าถ้ำแห่งหนึ่งและก็ได้หายเข้าไปในถ้ำ ต่อมาจึงกราบบังคมทูลพระร่วงให้ทรงทราบและรับอาสาจะจับกระต่ายตัวดังกล่าวและได้ใช้ความพยายามที่จะจับหลายครั้ง แต่ไม่ประสบผลสำเร็จจึงได้สร้างบ้านถาวรขึ้นหน้าถ้ำเพื่อรอจับกระต่าย หลายปีต่อมามีคนมาพบนายพรานจึงพากันอพยพมาอยู่เพิ่มขึ้นเรื่อยๆ จนกลายเป็นหมู่บ้านชาวบ้านจึงพร้อมกันตั้งชื่อหมู่บ้านว่า ""บ้านพรานกระต่าย"" ลักษณะภูมิประเทศของบ้านพรานกระต่ายเป็นที่ราบลาดเทจากตะวันตกไปตะวันออกเป็นป่าไม้ภูเขาหินสูงชัน ทางทิศตะวันออกเป็นที่ราบลุ่มเหมาะสมกับการทำเกษตรและเป็นที่ชุมชนหนาแน่น บ้านเรือนส่วนมากเป็นรูปแบบสมัยใหม่ มีอาคารไม้เก่าเหลืออยู่จำนวนไม่มาก ผู้คนในชุมชนมีอาชีพทำการเกษตรกรรมค้าขายและรับจ้างทั่วไป"
3,บ้านห้วยแม่ซ้าย (บ้านยะฟู),แม่ยาว,เมืองเชียงราย,เชียงราย,เหนือ,576712.0936,2209887.554,บ้านห้วยแม่ซ้าย เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวเขาเผ่ามูเซอแดง ที่อพยพมาจากพม่าเข้าสู่ประเทศไทย อาศัยอยู่บริเวณดอยตุง เมื่อประมาณปี พ.ศ. 2510 ได้อพยพเคลื่อนย้ายมาอยู่บริเวณบ้านยะฟูเดิม ซึ่งอยู่ทางทิศตะวันตกเฉียงเหนือของบ้านดอยยาวปัจจุบัน ลักษณะภูมิประเทศเป็นพื้นที่ราบระหว่างภูเขาและมีภูเขาสูงล้อมรอบชุมชน มีลำห้วยแม่ซ้ายไหลผ่านทางทิศใต้ของพื้นที่ ซึ่งเป็นแหล่งน้ำสำคัญของชุมชน เป็นชุมชนเรือนไม้เดี่ยวที่ตั้งอยู่บนที่ราบระหว่างภูเขา พื้นดินยังมีลักษณะลาดเอียงเล็กน้อย กระจุกตัวเป็นกลุ่มโดยมีถนนแม่ฟ้าหลวง (1207) ตัดผ่านกลางหมู่บ้าน มีความต่อเนื่องใกล้ชิดกัน มีเรือนไม้เก่าที่มีสภาพดั้งเดิม คือ ยกใต้ถุนสูง หลังคามุงจากหลงเหลืออยู่บ้าง ภายในชุมชนมีการจัดการเรื่องการท่องเที่ยวของชุมชนตามศักยภาพของชุมชน มีการอนุรักษ์วัฒนธรรม ประเพณี ความเชื่อ แบบดั้งเดิมอยู่ ปัจจุบันมีอาชีพที่สำคัญ ได้แก่ อาชีพการเกษตร อาชีพเลี้ยงสัตว์ อาชีพหัตถกรรมฝีมือพื้นบ้านของกลุ่มแม่บ้าน
4,บ้านถ้ำผาตอง,ท่าสุด,เมืองเชียงราย,เชียงราย,เหนือ,594024.4964,2220483.832,บ้านถ้ำผาตอง เป็นชุมชนเกษตรกรรม และชุมชนกลุ่มอาชีพเฉพาะ เป็นแหล่งศึกษาและการเรียนรู้ภูมิปัญญาพื้นบ้าน ผลิตและขายสินค้าหนึ่งตำบลหนึ่งผลิตภัณฑ์ (OTOP) โดยมีนายคำจันทร์ ยาโน เป็นผู้ถ่ายทอดการแกะสลักไม้ เช่น กระบวยตักน้ำกะลามะพร้าว ให้ความรู้ ทั้งนักศึกษา นักวิจัย เป็นระยะเวลา 27 ปี ลักษณะภูมิประเทศเป็นพื้นที่ทำการเกษตรกรรม ปลูกพืชไร่ พืชสวน มีบ้านเรือนตั้งอยู่กระจายภายในชุมชน ปัจจุบันอยู่ระหว่างการจัดตั้งบ้านแสดงไม้แกะสลักเป็นพิพิธภัณฑ์ โดยได้รับความสนับสนุนจากสำนักงานวัฒนธรรมจังหวัดเชียงราย ให้เป็นศูนย์กลางของการแกะสลักไม้
5,บ้านกะเหรี่ยงรวมมิตร,แม่ยาว,เมืองเชียงราย,เชียงราย,เหนือ,574379.3488,2207223.193,บ้านกะเหรี่ยงรวมมิตร เป็นชุมชนเกษตรกรรม ชุมชนตลาด ชุมชนริมน้ำ และเป็นชุมชนชาติพันธุ์ของชาวกะเหรี่ยง เป็นหมู่บ้านท่องเที่ยวเชิงนิเวศริมแม่น้ำกก มีปางช้างสำหรับพานักท่องเที่ยว เที่ยวชมรอบ ๆ หมู่บ้าน ประชากรส่วนใหญ่เป็นชาวกะเหรี่ยง นับถือศาสนาคริสต์ ลักษณะภูมิประเทศเป็นพื้นที่สูงและพื้นที่ราบ โดยมีถนนสายหลักตัดผ่านหมู่บ้าน และมีแม่น้ำกกไหลผ่าน มีเส้นทางท่องเที่ยวโดยรอบหมู่บ้าน บ้านเรือนอยู่อย่างหนาแน่น ปัจจุบันเป็นชุมชนหนึ่งของการท่องเที่ยวริมแม่น้ำกก เป็นหมู่บ้านที่จัดกิจกรรมท่องเที่ยวเชิงนิเวศ ค้าขาย และเน้นการท่องเที่ยว
6,บ้านโป่งน้ำร้อน,ดอยฮาง,เมืองเชียงราย,เชียงราย,เหนือ,553903.7917,2129447.01,บ้านโป่งน้ำร้อน เป็นชุมชนชาติพันธุ์ของคนเมือง (ไทยวน) อาข่า จีนยูนาน และลีซอ เป็นแหล่งศึกษาวัฒนธรรมของชุมชนที่หลากหลาย ของกลุ่ม 4 ชาติพันธุ์ ลักษณะภูมิประเทศตั้งอยู่ในหุบเขา อากาศเย็นตลอดปี แบ่งออกเป็น 4 หย่อมบ้าน คือ หย่อมบ้านคนเมือง หย่อมบ้าน สองแคว (คนจีน) หย่อมบ้านอาข่า และหย่อมบ้านลีซอ เป็นชุมชนอยู่ระหว่างถนนสายรอง และอีกด้านของชุมชนติดริมแม่น้ำกก มีบ่อน้ำพุร้อนซึ่งเป็นแหล่งท่องเที่ยวชุมชน และมีพื้นที่สำหรับการปลูกชา มีภูมิปัญญาท้องถิ่นเรื่องการรักษาแบบพื้นบ้าน จักสาน ทำเฟอร์นิเจอร์ไม้ไผ่ และเมี่ยงชา
7,บ้านจะคือ,ห้วยชมพู,เมืองเชียงราย,เชียงราย,เหนือ,555957.0575,2215185.622,บ้านจะคือ เป็นชุมชนเกษตรกรรม ชุมชนริมน้ำ และชุมชนชาติพันธุ์ของชาวลาหู่ โดยหมู่บ้านจะคือ ตั้งตามชื่อของผู้นำหมู่บ้านคนแรก เมื่อปี พ.ศ. 2514 บริเวณริมแม่น้ำกก จำนวน 25 หลังคาเรือน มีป่าเขาล้อมรอบหมู่บ้าน มีแม่น้ำกกไหลผ่าน เป็นชาติพันธุ์ชาวลาหู่ ที่ยังคงรักษาเอกลักษณ์ ประเพณี และความเชื่อดั้งเดิมไว้ ลักษณะภูมิประเทศอยู่บนพื้นที่สูง มีป่าเขาล้อมรอบหมู่บ้าน และแม่น้ำกกไหลผ่าน ถนนเข้าหมู่บ้านเป็นดินลูกรัง เป็นหมู่บ้านที่คงสถานที่สำคัญและเอกลักษณ์ของชนเผ่าลาหู่ เช่น ลานพิธีกรรม ซึ่งเป็นสถานที่ประกอบพิธีกรรม ตลอดจนจัดกิจกรรมของชุมชน และเนื่องจากระบบไฟฟ้ายังไม่มี ภายในชุมชนจึงใช้ระบบ Solar cell ทดแทน มีอาชีพทำพืชไร่ เช่น ข้าวโพด
8,บ้านสันป่าก่อ,รอบเวียง,เมืองเชียงราย,เชียงราย,เหนือ,586807.2876,2199232.24,บ้านสันป่าก่อ เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวไทใหญ่ที่อพยพมาจากประเทศพม่า เป็นชุมชนที่คงวัฒนธรรมของตนเองได้อย่างดี แม้อยู่ท่ามกลางบริบทของพื้นที่เมือง ลักษณะภูมิประเทศ ตั้งอยู่ในเขตเทศบาลเมืองเชียงราย หมู่ที่ 13 ตำบลรอบเวียง อำเภอเมือง จังหวัดเชียงราย อยู่ห่างจากตัวเมืองเชียงราย ประมาณ 3 กิโลเมตร บริเวณใกล้เคียงกับชุมชนเป็นสถานบันเทิง โรงแรม สนามบินของกองทัพอากาศ เป็นชุมชนโบราณที่มีสถาปัตยกรรมบ้านเรือนเป็นรูปแบบสถาปัตยกรรมไทใหญ่ โดยเฉพาะในวัดสันป่าก่อ ที่ประกอบด้วยอาคารรูปแบบไทใหญ่อยู่หลายหลัง ผู้คนส่วนใหญ่ประกอบอาชีพค้าขาย โดยเฉพาะร้านอาหารพื้นถิ่นของชาวไทใหญ่
9,บ้านฮ่องแฮ่หลวง,แม่ไร่,แม่จัน,เชียงราย,เหนือ,592521.9178,2240694.548,บ้านฮ่องแฮ่หลวง เป็นชุมชนเกษตรกรรม และชุมชนกลุ่มอาชีพเฉพาะ ไม่มีประวัติของชุมชนที่ชัดเจน ลักษณะภูมิประเทศ มีลักษณะเป็นที่ราบขนาดใหญ่ ซึ่งอยู่ห่างจากพื้นที่เขาจากทางทิศตะวันตกไปประมาณ 5 กิโลเมตร มีลักษณะเป็นผืนนาขนาดใหญ่มาก ไม่มีพื้นที่ป่าตามธรรมชาติในบริเวณที่ราบ เป็นชุมชนเรือนเดี่ยว ซึ่งโดยมากยังเป็นเรือนไม้หลังคาสังกะสี มีสภาพดี กระจุกตัวอยู่ตามถนนสายรองที่แยกออกมาจากถนนพหลโยธิน โดยบ้านเรือนวางตัวใกล้ชิดกัน ล้อมรอบชุมชนด้วยพื้นที่ผืนนาขนาดใหญ่ อาชีพหลัก คือ การทำนา ทำสวน ทำไร่ อาชีพเสริม คือ ทำเสื่อกก
10,บ้านศรีดอนชัย,ศรีดอนชัย,เชียงของ,เชียงราย,เหนือ,651449.0626,2232953.15,บ้านศรีดอนชัย เป็นชุมชนเกษตรกรรม และชุมชนชาติพันธุ์ของชาวไทลื้อ เดิมตั้งอยู่ที่เมืองอูเหนือ แคว้นสิบสองปันนา มณฑลยูนนานประเทศจีนตอนใต้ ต่อมาการทำมาหากินขัดสนและถูกจีนรุกราน ในปี พ.ศ. 2428 ชาวไทลื้อจำนวน 994 คน จึงได้อพยพมายังที่ตั้งปัจจุบัน ลักษณะภูมิประเทศตั้งอยู่ตอนบนสุดของประเทศไทย มีอาณาเขตติดกับประเทศลาว กั้นโดยแม่น้ำแม่โขง พื้นที่ล้อมรอมด้วย สวน ไร่ นา และมีพื้นที่ป่าธรรมชาติแทรกตัวอยู่ เป็นชุมชนที่โดดเด่นเรื่องการทอผ้า มีอาชีพหลักทั่วไปเป็นการทำนาและทำสวน แต่ที่โดดเด่นคือ กลุ่มทอผ้าบ้านศรีดอนชัย เป็นภูมิปัญญากลุ่มทอผ้าสตรีบ้านศรีดอนชัย เกิดจากการรวบรวมกลุ่มสตรีในหมู่บ้านมารวมกลุ่มกัน เพื่อผลิตและทอผ้า  ส่วนใหญ่จะเป็นลายไทลื้อ มีการพัฒนาผลิตภัณฑ์ให้หลากหลายมากขึ้น เช่น ซองใส่โทรศัพท์ ผ้าปูโต๊ะ ที่รองแก้ว ฯลฯ
