ลำดับที่,กลุ่มของพืช,Group of Plant,วงศ์,ชื่อวิทยาศาสตร์,ชื่อไทย,ลักษณะวิสัย,สถานภาพ (เกณฑ์ก่อนปี ค.ศ. 1994),สถานภาพ  (เกณฑ์ในช่วงปี ค.ศ. 19942001)
1,กลุ่มเฟิน,Pteridophyte,Aspleniaceae,Asplenium humbertii Tard.,,เฟินอิงอาศัย,,VU
2,กลุ่มเฟิน,Pteridophyte,Aspleniaceae,Asplenium rockii C.Chr.,,เฟินอิงอาศัย,,VU
3,กลุ่มเฟิน,Pteridophyte,Aspleniaceae,Asplenium siamense Tagawa & K. Iwats.,,เฟินอิงอาศัย,,VU
4,กลุ่มเฟิน,Pteridophyte,Aspleniaceae,Asplenium simonsianum Hook.,,เฟินอิงอาศัย,R,
5,กลุ่มเฟิน,Pteridophyte,Aspleniaceae,Asplenium squamulatum Blume,กระปรอกหางสิงห์,เฟินอิงอาศัย,R,
6,กลุ่มเฟิน,Pteridophyte,Athyriaceae,Diplazium siamense C. Chr.,,เฟินอิงอาศัย,R,
7,กลุ่มเฟิน,Pteridophyte,Cheiropleuriaceae,Cheiroplueria bicuspis (Blume) Presl.,บัวแฉกใบมน,เฟินอาศัยตามพื้นดิน,RT,
8,กลุ่มเฟิน,Pteridophyte,Davalliaceae,Davallia petelotii Tardieu & C. Chr.,นาคราชทุ่งแสลงหลวง,เฟินอิงอาศัย,R,
9,กลุ่มเฟิน,Pteridophyte,Dennstaedtiaceae,Microlepia ridleyi Copel.,,เฟินอาศัยตามพื้นดิน,R,
10,กลุ่มเฟิน,Pteridophyte,Dipteridaceae,Dipteris conjugata Reinw.,บัวแฉก,เฟินอาศัยตามพื้นดิน,RT,
11,กลุ่มเฟิน,Pteridophyte,Dryopteridaceae,Ctenitis dumrongii Tagawa & K. Iwats.,,เฟินอาศัยตามพื้นดิน,,VU
12,กลุ่มเฟิน,Pteridophyte,Dryopteridaceae,Dryoteris pseudosparsa Ching,,เฟินอาศัยตามพื้นดิน,R,
13,กลุ่มเฟิน,Pteridophyte,Dryopteridaceae,Heterogonium hennipmanii Tagawa & K. Iwats.,,เฟินอาศัยตามพื้นดิน,,VU
14,กลุ่มเฟิน,Pteridophyte,Dryopteridaceae,Polystichum attenuatum Tagawa & K. Iwats.,,เฟินอาศัยตามพื้นดิน,R,
15,กลุ่มเฟิน,Pteridophyte,Dryopteridaceae,Tectaria gymnosora Holtt.,,เฟินอาศัยตามพื้นดิน,R,
16,กลุ่มเฟิน,Pteridophyte,Dryopteridaceae,Tectaria laotica Tardieu & C. Chr.,กูดลาว,เฟินอาศัยตามพื้นดิน,R,
17,กลุ่มเฟิน,Pteridophyte,Grammitidaceae,Xiphopteris khaoluangensis Tagawa & K. Iwats.,,เฟินอิงอาศัย,R,
18,กลุ่มเฟิน,Pteridophyte,Hymenophyllaceae,Crepidomanes megistostomum (Copel.) Copel.,,เฟิน,R,
19,กลุ่มเฟิน,Pteridophyte,Hymenophyllaceae,Hymenophyllum blandum Racib.,,เฟินอิงอาศัย,R,
20,กลุ่มเฟิน,Pteridophyte,Hymenophyllaceae,Hymenophyllum bontocense Copel.,,เฟินอิงอาศัย,R,
21,กลุ่มเฟิน,Pteridophyte,Linsaeaceae,Linsaea malayensis Holttum,,เฟินอาศัยตามพื้นดิน,R,
