ลำดับที่,กลุ่มสัตว์มีกระดูกสันหลัง,คำย่อของสถานภาพ,"สถานภาพของชนิดพันธุ์
(ภาษาอังกฤษ)","สถานภาพของชนิดพันธุ์
(ภาษาไทย)",ชื่อวิทยาศาสตร์,ชื่อไทย
1,สัตว์เลี้ยงลูกด้วยนม,EX,Extinct,สูญพันธุ์ ,Bos sauveli ,"กูปรี, โคไพร "
2,สัตว์เลี้ยงลูกด้วยนม,EX,Extinct,สูญพันธุ์ ,Dicerorhinus sumatrensis,กระซู่
3,สัตว์เลี้ยงลูกด้วยนม,EX,Extinct,สูญพันธุ์ ,Rhinoceros sondaicus,แรด   
4,สัตว์เลี้ยงลูกด้วยนม,EX,Extinct,สูญพันธุ์ ,Rucervus schomburgki,"สมัน, เนื้อสมัน"
5,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Bos javanicus,"วัวแดง, วัวดำ "
6,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Bubalus arnee,ควายป่า 
7,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Callosciurus  prevostii ,กระรอกสามสี
8,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Cynogale bennettii,อีเห็นน้ำ
9,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Dugong dugon ,"พะยูน, หมูน้ำ "
10,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Eothenomys melanogaster,หนูน้ำดอยอ่างกา 
11,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Eudiscoderma thongareeae,ค้างคาวแวมไพร์แปลงทองอารีย์ 
12,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Felis chaus ,"แมวป่า, เสือกระต่าย "
13,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Lutra sumatrana,"นากใหญ่จมูกขน, นากใหญ่หัวปลาดุก "
14,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Manis pentadactyla,ลิ่นจีน 
15,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Naemorhedus griseus,กวางผา 
16,สัตว์เลี้ยงลูกด้วยนม,CR,Critically Endangered ,ใกล้สูญพันธุ์อย่างยิ่ง ,Orcaella brevirostris   ,"โลมาหัวบาตรครีบหลัง, โลมาอิรวดี "
